account_no,customer_name,branch_id,branch_name,brand,model_code,vehicle_category,gross_principal_amount,down_payment,principal_loan_amount,term_years,term_months,factor_rate,total_payable,monthly_amortization,current_term,remaining_terms,term_progress_ratio,monthly_income,dti_ratio,employment_type,residential_ownership,length_of_stay_years,marital_status,dependents_count,payment_method_preference,behavioral_archetype,ci_negative_flags,has_phone_bounce,rebate_streak,late_penalty_streak,overdue_count,partial_payment_ratio,on_time_reliability,current_status,total_paid_gross,total_penalties_paid,total_paid_net,principal_paid,remaining_principal,total_arrears,early_settlement_amount,early_savings,buyout_propensity,will_default_90d,early_settlement_target
ACC-2024001,"Mercado, Bryan",1,LALA,HONDA,WAVE RSX,Underbone,63400.0,8900.0,54500.0,2,24,1.48,80660.0,3360.83,21,3,0.875,25200.0,0.133,Micro-Business / Sari-Sari / Eatery Owner,Rented House / Apartment,2.6,Married,0,Cash at Counter,PRIME_CONSISTENT,0,0,4,1,0,0.99,0.821,active,69871.66,200.0,69671.66,47075.45,7424.55,0.0,10988.33,0.0,LOW,0,0
ACC-2024002,"Magno, Joy",2,KAPATAGAN,HONDA,WAVE RSX,Underbone,63400.0,8800.0,54600.0,3,36,1.72,93912.0,2608.67,19,17,0.528,41900.0,0.062,Government / Public Teacher / Uniformed,Owned (Clean Land Title),4.7,Married,0,Cash at Counter,PRIME_CONSISTENT,2,1,5,1,0,0.98,0.905,active,48573.44,200.0,48373.44,28124.09,26475.91,0.0,39184.35,6354.22,LOW,1,0
ACC-2024003,"Mendoza, Rowena",1,LALA,HONDA,TMX125 ALPHA,Backbone/Utility,54900.0,9200.0,45700.0,2,24,1.48,67636.0,2818.17,8,16,0.333,34800.0,0.081,Skilled Tradesman / Welder / Carpenter,Owned (Clean Land Title),3.6,Married,2,GCash / Maya,PRIME_CONSISTENT,0,0,5,0,0,0.98,0.921,active,22094.45,0.0,22094.45,14928.68,30771.32,0.0,38771.86,6769.69,LOW,0,0
ACC-2024004,"Mendoza, Jose",2,KAPATAGAN,YAMAHA,MIO GEAR 125,Scooter,79400.0,8900.0,70500.0,3,36,1.72,121260.0,3368.33,35,1,0.972,60300.0,0.056,Micro-Business / Sari-Sari / Eatery Owner,Living with Parents / Family Compound,3.0,Married,0,GCash / Maya,PRIME_CONSISTENT,1,0,3,1,0,0.99,0.868,active,116712.63,200.0,116512.63,67739.9,2760.1,0.0,4747.37,0.0,LOW,0,0
ACC-2024005,"Villanueva, Alexander",2,KAPATAGAN,HONDA,PCX160,Maxi-Scooter,132000.0,33700.0,98300.0,1,12,1.26,123858.0,10321.5,2,10,0.167,58200.0,0.177,BPO / Tech / Remote Specialist,Living with Parents / Family Compound,7.3,Married,2,GCash / Maya,PRIME_CONSISTENT,2,0,3,1,0,0.96,0.872,active,19817.28,200.0,19617.28,15569.27,82730.73,0.0,104240.72,0.0,LOW,0,0
ACC-2024006,"Tan, Aileen",3,TUBOD,HONDA,ADV160,Adventure Scooter,169900.0,44900.0,125000.0,3,36,1.72,215000.0,5972.22,21,15,0.583,49500.0,0.121,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,7.1,Single,2,GCash / Maya,PRIME_CONSISTENT,0,0,19,0,0,1.0,0.941,active,125416.62,0.0,125416.62,72916.64,52083.36,0.0,77083.37,12500.01,LOW,0,0
ACC-2024007,"Garcia, Jerome",1,LALA,HONDA,CT100B,Backbone/Tricycle,60500.0,15600.0,44900.0,3,36,1.72,77228.0,2145.22,14,22,0.389,51400.0,0.042,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,8.7,Married,3,GCash / Maya,PRIME_CONSISTENT,0,0,13,0,0,1.0,0.964,active,30033.08,0.0,30033.08,17461.09,27438.91,0.0,40609.59,6585.34,LOW,0,0
ACC-2024008,"De Leon, Bernadette",2,KAPATAGAN,YAMAHA,SNIPER 155,Sport Underbone,125400.0,15300.0,110100.0,2,24,1.48,162948.0,6789.5,3,21,0.125,24600.0,0.276,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,4.0,Married,4,GCash / Maya,PRIME_CONSISTENT,1,0,5,0,0,0.96,0.878,active,19553.76,0.0,19553.76,13212.0,96888.0,0.0,122078.88,21315.36,LOW,0,0
ACC-2024009,"Tan, Noel",3,TUBOD,YAMAHA,AEROX 155,Sport Scooter,123900.0,29900.0,94000.0,3,36,1.72,161680.0,4491.11,26,10,0.722,51200.0,0.088,BPO / Tech / Remote Specialist,Owned (Clean Land Title),5.2,Single,5,GCash / Maya,ADVANCE_PREPAYER,0,0,12,0,0,1.0769230769230769,1.0,active,125751.08,0.0,125751.08,73111.09,20888.91,0.0,35928.93,0.0,LOW,0,0
ACC-2024010,"Macapagal, Michael",1,LALA,YAMAHA,MIO FAZZIO,Retro Scooter,92400.0,13900.0,78500.0,2,24,1.48,116180.0,4840.83,6,18,0.25,15200.0,0.318,Agriculture / Rice / Coconut Farmer,Living with Parents / Family Compound,15.9,Single,4,Field Agent Collector,CHRONIC_OVERDUE,2,0,0,3,2,0.74,0.616,delinquent,21493.29,600.0,20893.29,14117.09,64382.91,10081.66,81122.47,14164.24,LOW,0,0
